SIU;LINHA;SUBLINHA;PC; Endereço do Ponto; Nº Imóvel;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23; Total geral ;X;Y
10063;64;3;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;;;;;3;;;;;;3;;4;2;;;;;;;12;608045.07;7803421.35
10063;67;1;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;;;;;3;;6;1;;;3;1;4;;;;2;;;;21;608045.07;7803421.35
10063;67;5;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;;;;1;;;;;;;;2;6;;;;;;;;10;608045.07;7803421.35
10063;503;1;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;;;1;;;;;;;;;3;6;;;;;;;;9;608045.07;7803421.35
10063;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;763;;;;;;12;8;5;10;2;3;6;4;4;7;3;19;49;5;3;2;;;1;145;608045.07;7803421.35
10064;64;1;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;5;;;;3;4;;4;1;5;3;;;1;14;1;;41;607990.39;7803434.44
10064;64;3;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;;;1;;;;1;1;1;;;;;;;5;607990.39;7803434.44
10064;67;1;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;;;;;1;;;;1;;;1;2;6;;11;607990.39;7803434.44
10064;67;5;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;;;;;;;;;1;;;;;;;1;607990.39;7803434.44
10064;504;1;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;5;;;;1;;3;2;10;1;1;;1;3;;;;28;607990.39;7803434.44
10064;506;1;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;5;;;;;;;1;;5;;;;;;;;11;607990.39;7803434.44
10064;506;2;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;1;6;5;;;;2;;;2;;1;;;;;;;;17;607990.39;7803434.44
10064;506;3;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;;;;;;;;;7;;;1;;;;8;607990.39;7803434.44
10064;506;4;1;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;;;;;;;;;8;5;3;;;;;16;607990.39;7803434.44
10064;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;810;;;;;;;;;;2;;;;2;3;1;3;1;;;;;;;11;607990.39;7803434.44
10065;64;1;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;;;;;;1;;2;8;;8;5;3;4;;3;6;;;;42;607879.18;7803363.47
10065;64;3;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;;2;1;3;;;2;4;2;;1;10;3;;;;;;;;27;607879.18;7803363.47
10065;67;1;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;;;;;4;;;;3;4;;11;6;9;1;3;;;;;42;607879.18;7803363.47
10065;67;5;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;;1;;;;;;;;;;4;;;;;;;;;5;607879.18;7803363.47
10065;503;1;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;;1;3;;;;;1;2;2;;1;6;5;2;2;;;;;24;607879.18;7803363.47
10065;5106;1;1;ANTONIO ABRAHAO CARAM, AVE;853;;;;;1;;10;9;1;2;4;3;7;12;7;3;12;40;19;3;3;1;;;139;607879.18;7803363.47
10066;64;1;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;9;;;;;;;;;;1;;;;16;6;;32;607838.2;7803381.71
10066;64;3;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;;;;;;;1;;;;;;;;1;607838.2;7803381.71
10066;67;1;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;;;;;;;3;;3;3;4;21;6;;40;607838.2;7803381.71
10066;67;5;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;;;;;;1;;;;;;;;;1;607838.2;7803381.71
10066;504;1;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;1;3;;2;;;3;1;;;8;;;;17;607838.2;7803381.71
10066;504;2;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;;;;;;;;;;;1;;;;1;607838.2;7803381.71
10066;506;2;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;1;;;;;;;4;;;;;;;;5;607838.2;7803381.71
10066;506;4;1;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;;;;;;;;;;;;5;;;;;;5;607838.2;7803381.71
10066;5106;1;2;ANTONIO ABRAHAO CARAM, AVE;900;;;;;;;;1;;;;;;;;;;;;;;2;;;4;607838.2;7803381.71
10067;64;1;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;2;;;;1;;2;;;3;;1;;2;3;6;;22;607553.16;7803281.59
10067;64;3;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;3;;;;5;2;;;;;;;11;607553.16;7803281.59
10067;67;1;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;1;;;;;3;;;;;1;2;;;;1;;4;13;607553.16;7803281.59
10067;67;5;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;;;;2;;1;;;;;;;3;607553.16;7803281.59
10067;504;1;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;1;4;3;3;;3;;;2;;3;8;1;1;;;;;;28;607553.16;7803281.59
10067;504;2;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;;;;;;;;;;;;13;13;607553.16;7803281.59
10067;506;1;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;;;;;5;;;;;;;;5;607553.16;7803281.59
10067;506;2;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;2;15;;1;;;;2;;;;;;;;;;;;20;607553.16;7803281.59
10067;506;3;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;;;;;;;;;1;;;;1;607553.16;7803281.59
10067;506;4;1;ANTONIO ABRAHAO CARAM, AVE;1000;;;;;;;;;;;;;;;;;;3;;;;;;;3;607553.16;7803281.59
