EV; HR; LT; LG; NV; VL; NL; DG; SV; DT
105;20220708101453;-19,952644;-43,914876;11187;24;4736;172;1;11044
105;20220708101452;-19,919627;-43,937388;20708;1;695;110;1;8418
105;20220708101449;-19,909856;-43,965419;11017;17;3536;65;1;10515
105;20220708101456;-19,885505;-43,979113;11033;0;305;0;0;0
105;20220708101448;-19,885069;-43,902005;20732;13;641;186;2;18297
105;20220708101420;-19,829217;-43,936487;10606;0;5619;0;1;20315
105;20220708101454;-19,940031;-43,940204;10919;0;394;0;1;16046
105;20220708101450;-19,952763;-43,969983;30742;0;353;0;0;4110
105;20220708101451;-19,932163;-43,904052;10464;9;6740;18;1;10902
105;20220708101448;-19,894151;-43,925190;20559;23;407;74;1;18764
105;20220708101451;-19,893462;-44,009034;40881;0;357;0;1;3907
105;20220708101450;-19,929987;-43,930526;30543;0;5282;151;1;10012
105;20220708101451;-19,863663;-43,921163;20705;0;844;0;0;1596
105;20220708101455;-19,867286;-43,906893;40620;21;594;283;1;635
105;20220708101446;-19,907259;-43,926893;20744;18;651;8;2;7146
105;20220708101454;-19,919618;-43,995909;20804;2;737;2;0;449
105;20220708101452;-20,007784;-44,030921;10539;0;253;0;1;4242
105;20220708101449;-19,813507;-44,012248;10618;0;5574;0;1;18403
105;20220708101449;-19,929935;-43,986045;20872;37;68;162;1;3389
105;20220708101452;-19,953933;-43,970042;40814;12;4055;219;1;14549
105;20220708101322;-19,921166;-43,951916;40628;13;329;98;1;12025
105;20220708101450;-20,000143;-43,969784;30754;9;5713;133;1;2643
105;20220708101450;-19,871373;-44,014376;11140;0;3536;0;1;26344
105;20220708101454;-19,931261;-43,984760;30896;15;660;229;3;12033
105;20220708101456;-19,945029;-44,007840;30650;45;4023;2;3;5521
105;20220708101449;-19,842538;-43,968386;11154;24;5574;84;1;8750
105;20220708101452;-19,889509;-43,929353;20414;0;695;0;2;8053
105;20220708101458;-19,910663;-44,007641;40890;7;4399;121;1;3397
105;20220708101445;-19,796168;-44,010706;10557;0;6858;106;0;3481
105;20220708101451;-19,962985;-43,939939;30905;0;100;0;2;4435
105;20220708101453;-19,994440;-44,054683;30863;22;4018;19;1;46642
105;20220708101452;-19,912936;-43,945244;40210;1;4399;76;1;11514
105;20220708101421;-19,864400;-43,930343;10622;0;5542;0;1;21660
105;20220708101454;-19,953430;-43,969905;30744;0;90;0;0;2606
105;20220708101450;-19,865046;-44,009304;11075;32;368;48;0;1365
105;20220708101452;-19,939296;-43,925812;40878;5;345;316;1;14720
105;20220708101449;-19,945601;-44,009799;40802;0;962;0;1;0
105;20220708101450;-19,919684;-43,995515;40586;0;737;0;0;540
105;20220708101446;-19,862982;-43,921220;20589;0;574;0;0;3895
105;20220708101446;-19,917885;-43,936335;40739;3;962;221;1;22246
105;20220708101422;-19,870781;-44,010359;40701;0;309;0;0;1109
105;20220708101445;-19,901938;-43,933168;20577;0;5547;0;1;4972
105;20220708101454;-19,946450;-43,974113;30798;27;2557;149;1;15884
105;20220708101452;-19,911675;-43,924541;40763;0;5317;0;1;8368
105;20220708101451;-19,912387;-43,955258;11076;0;368;0;1;10885
105;20220708101419;-19,796164;-44,011230;10626;0;5574;0;3;5
105;20220708101436;-19,950071;-43,958728;20724;7;619;184;1;10293
105;20220708101441;-19,959914;-43,944188;30715;48;238;218;1;26446
105;20220708101449;-19,956375;-43,985803;30799;0;107;0;0;8864
105;20220708101445;-19,921607;-43,941505;30814;0;648;87;1;10404
105;20220708101456;-19,893045;-43,887256;20944;0;679;0;2;19671
105;20220708101454;-19,963930;-43,963605;30971;0;5713;152;0;11135
105;20220708101452;-19,913453;-43,943531;40406;2;755;144;1;7001
105;20220708101413;-19,963505;-43,963626;30584;0;5916;0;0;1967
105;20220708101449;-19,912274;-43,941494;10711;37;495;164;1;14124
105;20220708101454;-19,928829;-43,971635;40864;35;737;358;3;8014
105;20220708101419;-19,995197;-44,024253;10527;0;234;0;1;9957
105;20220708101455;-19,852423;-43,877847;20455;0;763;0;1;20990
105;20220708101447;-19,926052;-43,930502;20658;24;7761;246;1;7161
105;20220708101451;-19,801095;-43,978194;10687;0;1905;0;1;19070
105;20220708101454;-19,974049;-44,022396;31087;19;899;173;1;154
105;20220708101452;-19,918861;-43,959470;20942;20;677;279;1;7438
105;20220708101450;-19,922524;-43,921599;20411;0;716;0;1;10821
105;20220708101447;-19,987586;-44,055275;30932;9;4018;143;1;611
105;20220708101452;-19,809944;-43,970188;10807;0;502;0;1;38599
105;20220708101451;-19,822424;-43,953544;20615;0;4023;0;2;27822
105;20220708101506;-19,809494;-43,969780;20515;0;550;139;1;41227
105;20220708101453;-19,927372;-43,953139;40819;16;899;275;1;20185
105;20220708101451;-19,997965;-44,002287;30690;0;243;0;1;45363
105;20220708101454;-19,953983;-44,009499;60003;0;5632;0;1;25152
105;20220708101450;-19,928802;-43,956178;30563;0;207;0;1;17798
105;20220708101454;-19,930518;-43,946039;30695;26;109;53;1;8334
105;20220708101455;-19,963961;-43,963492;30489;0;643;0;0;1858
