NumeroLinha;Linha;Nome
238;3050-01;EST.DIAM./HOSPITAIS-BH SHOPPING
239;3050-03;ESTACAO DIAMANTE/HOSPITAL VIA BH SHOPPING
234;305-01;EST. DIAMANTE/ MANGUEIRAS
240;3050-10;RETORNO SAVASSI - PICO MANHÃ
241;3050-11;ESTACAO DIAMANTE/HOSPITAL VIA BH SHOPPING
1032;3050-12;ESTACAO DIAMANTE/HOSPITAL VIA BH SHOPPING
1064;3050-13;ESTACAO DIAMANTE/HOSPITAL VIA BH SHOPPING
1399;3050-14;RETORNO BH SHOPPING
1702;3050-15;DIRETA DO ANEL/SAVASSI - TARDE
1703;3050-16;DIRETA - HOSPITAIS - ESTAÇÃO 
4074;3050-17;RETORNO SAVASSI - PICO TARDE
4238;3050-18;ESTAÇÃO DIAMANTE /  PRAÇA HUGO WERNECK
6273;3050-19;ATENDIMENTO CARNAVAL
235;305-02;NOTURNO
236;305-03;VIA SETOR INDUSTRIAL
3974;305-04;EST.DIAMANTE/ AV. SOLF. RICCI
3975;305-05;PARTIDAS DA V. SOLFERINA RICCI
4494;305-06;PARTIDAS- RUA GERALDO R. FILHO
243;3051-01;FLAVIO M.LISBOA/SAVASSI-N.S.CARMO
1004;3051-02;FLAVIO MARQUES LISBOA / SAVASSI VIA N.S.CARMO
5956;3051-03;RETORNO EXPRESSO
6274;3051-04;ATENDIMENTO CARNAVAL
245;3052-01;EST.DIAMANTE/BH SHOPP- HAVAI
246;3052-02;HOSPITAIS VIA AVAI - DOMINGO
1212;3052-03;ESTACAO DIAMANTE/BH SHOPPING-VIA HAVAI
247;3052-04;VIA PARQUE DAS MANGABEIRAS
3174;3052-05;VIA BAIRRO BURITIS
6275;3052-06;ATENDIMENTO CARNAVAL
7518;3052-07;PARQUE DAS MANGABEIRAS - CARNAVAL
905;3053-01;EST.BARREIRO/ BARRO PRETO
6016;3053-02;ATENDIMENTO À VIA EXPRESSA 
6683;3053-03;ATENDIMENTO CARNAVAL
6684;3053-04;ATENDIMENTO A VIA EXPRESSA _CARNAVAL
908;3054-01;MILIONARIOS/CENTRO
4314;3054-02;RETORNO EXPRESSO
6249;3054-03;ATENDIMENTO CARNAVAL
1115;3055-01;EST.BARREIRO/SAVASSI-BH SHOP.
1116;3055-02;ESTACAO BARREIRO/SAVASSI VIA BHSHOPPING
1117;3055-03;ESTACAO BARREIRO/SAVASSI VIA BHSHOPPING
2634;3055-04;DIRETA ESTAÇÃO/SAVASSI - TARDE
3154;3055-05;DIRETA SAVASSI/ESTAÇÃO - MANHÃ
6277;3055-06;ATENDIMENTO CARNAVAL
6459;3055-07;NOTURNO-VIA EST. DIAMANTE - CARNAVAL
7340;3055-08;VIA OLHOS DÁGUA OESTE
7478;3055-09;VIA OLHOS DAGUA OESTE -CARNAVAL
249;308-01;EST. BARREIRO/ TIROL
250;308-02;NOTURNO
251;308-03;TIROL
253;309-01;EST.DIAM./PETROPOLIS-V.STA RITA
254;309-02;BAIRRO PETROPOLIS
1189;309-03;BAIRRO PETROPOLIS
260;310-01;EST. DIAMANTE/ 3 E 4 SECAO
261;310-02;3 E 4 SECAO
262;310-03;3 E 4 SECAO
257;31-02;JATOBA / HOSPITAIS
946;31-04;JATOBA / HOSPITAIS
264;311-01;EST. DIAMANTE/ INDEPENDENCIA
1003;311-02;NOTURNO
1955;311-03;EST.BARREIRO/ INDEPENDENCIA
1956;311-04;R. F. PITANGUEIRA/EST.BARREIRO
1957;311-05;R. F. PITANGUEIRA/EST.DIAMANTE
2334;311-06;ESTAÇÃO BARREIRO/MORADA DA SERRA VIA INDEPENDÊNCIA
266;313-01;DIAMANTE/OLARIA
268;314-01;EST.DIAM./EST.BARR. VIA STA HELENA
4021;3150-01;REGINA-LINDÉIA/ BH SHOPP- ANEL
926;315-01;EST. BARREIRO/ BARREIRO
927;315-02;BARREIRO / ESTAÇÃO BARREIRO
270;316-01;CIRCULAR SAUDE A
272;317-01;CIRCULAR SAUDE B
273;317-02;CIRCULAR SAUDE B
275;318-01;EST. BARR./J.LIBERDADE VIA MILIONARIOS
276;318-02;NOTURNO-VIA LIBERD./BONSUCESSO
277;318-03;ARAGUAIA/MILIONARIOS
278;318-04;ARAGUAIA/MILIONARIOS
1057;318-05;EST. BARR./J.LIBERDADE VIA MILIONARIOS
2694;318-06;PARTIDAS DA RUA JEREMIAS
4958;318-08;ATENDIMENTO AO LIBERDADE
280;319-01;VILA CEMIG/ CONJ. ESPERANCA
281;319-02;VIA PÇA JOSÉ VERANO
1316;319-03;VIA HOSPITAL JÚLIA KUBITSCHECK
3854;319-04;VIA BONSUCESSO
283;320-01;ESCOLA ESTADUAL AMARO NEVES
3134;320-02;SEGUNDA VIAGEM
3135;320-03;TERCEIRA VIAGEM
3136;320-04;QUARTA VIAGEM
3137;320-05;QUINTA VIAGEM
3138;320-06;SEXTA VIAGEM
929;32-01;DIRETA
930;32-02;PARADORA
931;32-03;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
932;32-04;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
995;32-05;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
996;32-06;ESTAÇÃO BARREIRO / CENTRO- TAMOIOS
2994;32-07;SANTO AGOSTINHO - DIRETA
6659;32-08;ATENDIMENTO CARNAVAL
285;321-01;OLHOS D AGUA / PILAR
286;321-02;VIA SETOR INDUSTRIAL
7419;3250-01;EST.DIAMANTE/BURITIS VIA PALMEIRAS
915;325-01;EST. BARREIRO/ FLAVIO M. LISBOA
1001;325-02;NOTURNO
917;326-01;EST. BARREIRO/ VALE DO JATOBA
919;327-01;EST. BARREIRO/ CARDOSO A
920;327-02;VIA CLUBE DA COPASA
972;327-03;NOTURNO
922;328-01;EST. BARREIRO/ CARDOSO B
1842;328-02;PARTIDAS- R. LUCAS C. SANTOS
924;329-01;EST. BARREIRO/ JATOBA
2695;329-02;VIA TERESA CRISTINA
934;330-01;EST. BARREIRO/ INDEPENDENCIA
975;330-02;NOTURNO
1022;330-03;VIA BAIRRO MINEIRAO
1682;330-04;R. F. PITANGUEIRA/INDEPENDENCIA
1683;330-05;R. FLOR PITANGUEIRA/ MINEIRÃO
2575;330-06;EST.BAR/INDEPEND. - EXPRESSO
2576;330-07;INDEPENDENCIA/ESTAÇÃO BARREIRO
6078;330-08;R. F. PITANGUEIRA/RET.EXPRESSO
899;33-01;EST.BARREIRO/CENTRO- PARADORA
288;3301A-01;SANTA TEREZINHA
6254;3301A-03;ATENDIMENTO CARNAVAL
290;3301B-01;CASTELO
1058;3301B-02;VIA BAIRRO SANTANA
6384;3301B-03;ATENDIMENTO CARNAVAL
6383;3301B-04;VIA SANTANA: CARNAVAL
900;33-02;ESTAÇÃO BARREIRO/ CENTRO- HOSPITAIS
292;3302A-01;NOVA PAMPULHA VIA ITAMARATI
293;3302A-03;VIA HOSPITAIS
294;3302A-04;NOVA PAMPULHA VIA ITAMARATI
2182;3302A-05;NOVA PAMPULHA VIA ITAMARATI / RG ÁREA CENTRAL
2183;3302A-06;NOVA PAMPULHA VIA ITAMARATI / CT ÁREA CENTRAL
2974;3302A-07;NOVA PAMPULHA VIA ITAMARATI PARTIDA R. PETROPOLIS
5821;3302A-08;NOVA PAMPULHA / CENTRO
6255;3302A-09;VIA HOSPITAIS: CARNAVAL
6381;3302A-10;ATENDIMENTO CARNAVAL
296;3302B-01;TANCREDO NEVES VIA ITAMARATI
297;3302B-02;TANCREDO NEVES VIA ITAMARATI
5822;3302B-03;BRAUNAS / CENTRO
6379;3302B-04;ATENDIMENTO CARNAVAL
