ID_REDE_PRIORIZACAO_ONIBUS;NOME_ROTA;SITUACAO;INFRAESTRUTURA_ATUAL;INFRAESTRUTURA_PLANEJADA;ANO_IMPLANT_INFRA_ATUAL;HORIZONTE_IMPLANTACAO;POSICIONAMENTO_VIA;SISTEMA_BRT;REFERENCIA_LOGRADOURO;EXTENSAO_REDE_PLANEJADA;TIPO_LOGRADOURO;NOME_LOGRADOURO;LOGRAD_INICIAL;LOGRAD_FINAL;GEOMETRIA;EXTENSAO_TRECHO
932;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;142.289;AVE;OIAPOQUE;RUA SAO PAULO;RUA CURITIBA;MULTILINESTRING ((611093.440120855 7797691.10357334, 610957.424919193 7797732.8950668));142.289
1592;ROTA  AMAZONAS;IMPLANTADA;FAIXA PREFERENCIAL;PISTA EXCLUSIVA;1985;2025;LATERAL;NÃO;;194.145;AVE;AMAZONAS;RUA DOS GUAJAJARAS;RUA DOS TIMBIRAS;MULTILINESTRING ((610231.64219595 7796622.40110463, 610063.542414132 7796525.27087521));194.145
28;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;140.839;AVE;AUGUSTO DE LIMA;RUA ESPIRITO SANTO;RUA RIO DE JANEIRO;MULTILINESTRING ((611076.527894204 7796541.07765778, 610940.504446697 7796577.58022779));140.839
228;ROTA NOSSA SENHORA DO CARMO;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2009;0;LATERAL;NÃO;;222.739;AVE;NOSSA SENHORA DO CARMO;TRI DOIS MIL TREZENTOS E DOIS;RUA MONTES CLAROS;MULTILINESTRING ((611605.028792665 7794634.49573701, 611548.858101321 7794425.69823713, 611547.16770324 7794419.39951922));222.739
1962;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;140.809;RUA;CEARA;AVE PROFESSOR ALFREDO BALENA;AVE FRANCISCO SALES;MULTILINESTRING ((612402.047364781 7796623.06097032, 612401.033125932 7796610.64349786, 612397.850230034 7796597.26622076, 612374.918537047 7796517.34248901, 612371.100711138 7796503.80524447, 612366.111975339 7796488.63833166));140.809
1961;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;98.465;AVE;PROFESSOR ALFREDO BALENA;AVE FRANCISCO SALES;AVE BERNARDO MONTEIRO;MULTILINESTRING ((612318.368536865 7796573.58104181, 612232.479822678 7796525.43084265));98.465
25;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;100.037;AVE;PROFESSOR ALFREDO BALENA;RUA CEARA;AVE FRANCISCO SALES;MULTILINESTRING ((612402.047364781 7796623.05097235, 612318.368536865 7796573.57104385));100.037
643;ROTA LESTE 2;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2021;2020;LATERAL;NÃO;;139.971;RUA;DOMINGOS VIEIRA;RUA MARANHAO;RUA PIAUI;MULTILINESTRING ((612709.254539871 7796686.92797037, 612574.195856148 7796723.64049765));139.971
1956;ROTA LESTE 2;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2018;2020;LATERAL;NÃO;;112.373;RUA;NIQUELINA;AVE DO CONTORNO;RUA CORONEL ANTONIO PEREIRA DA SILVA;MULTILINESTRING ((613115.63448431 7796581.82936289, 613225.864930858 7796603.66491833));112.373
1943;ROTA LESTE 2;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2021;2020;LATERAL;NÃO;;139.467;RUA;DOMINGOS VIEIRA;AVE DO CONTORNO;RUA MANAUS;MULTILINESTRING ((613115.63448431 7796581.82936289, 612980.212983437 7796615.17257598));139.467
1913;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;51.416;AVE;DOM PEDRO I;AVE GENERAL OLIMPIO MOURAO FILHO;AVE GENERAL OLIMPIO MOURAO FILHO;MULTILINESTRING ((608793.65765502 7807127.05291321, 608830.137270185 7807163.28553816));51.416
1894;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;70.356;AVE;VILARINHO;RUA DOUTOR ALVARO CAMARGOS;TRI JOSE DE SOUZA MACHADO;MULTILINESTRING ((609762.585589018 7808153.79392305, 609752.517413133 7808167.65110246, 609748.410982673 7808175.97940726, 609727.639700892 7808214.70152548));70.356
1895;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;58.253;AVE;VILARINHO;RUA ANTONIO FERREIRA DA CRUZ;RUA BERNARDO FERREIRA DA CRUZ;MULTILINESTRING ((609649.691734762 7808365.58081444, 609623.915225493 7808417.82018127));58.253
1889;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;107.404;AVE;VILARINHO;RUA BERNARDO FERREIRA DA CRUZ;RUA GERALDO ALEXANDRE FERREIRA;MULTILINESTRING ((609623.915225493 7808417.82018127, 609571.941668895 7808511.8110497));107.404
1890;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;169.826;AVE;VILARINHO;TRI JOSE DE SOUZA MACHADO;RUA ANTONIO FERREIRA DA CRUZ;MULTILINESTRING ((609727.639700892 7808214.70152548, 609649.691734762 7808365.58081444));169.826
1907;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;80.682;AVE;DOM PEDRO I;RUA CARLYLE GUIMARAES CARDOSO;RUA DA GALERIA;MULTILINESTRING ((609315.001160633 7807459.83517634, 609335.162249936 7807480.41098819, 609365.779069807 7807522.49242264));80.682
1908;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;95.273;AVE;DOM PEDRO I;RUA DA GALERIA;RUA FRANCISCO AUGUSTO ROCHA;MULTILINESTRING ((609365.779069807 7807522.49242264, 609424.695627302 7807597.3671821));95.273
1909;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;69.647;AVE;DOM PEDRO I;RUA FRANCISCO AUGUSTO ROCHA;RUA ANTONIO ROCHA;MULTILINESTRING ((609424.695627302 7807597.3671821, 609465.776423584 7807653.60573491));69.647
1891;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;76.571;AVE;VILARINHO;RUA SEVERINO LARA;RUA LAURA IGNACIO PONTES;MULTILINESTRING ((609375.401970101 7808726.89726952, 609313.450941905 7808771.89810973));76.571
1892;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;70.052;AVE;VILARINHO;RUA QUINANTE;RUA SEVERINO LARA;MULTILINESTRING ((609429.346283485 7808682.20636623, 609375.401970101 7808726.89726952));70.052
1893;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;73.043;AVE;VILARINHO;RUA QUIMO;RUA QUINANTE;MULTILINESTRING ((609481.921786716 7808631.54667786, 609460.400133104 7808653.77215393, 609429.346283485 7808682.20636623));73.043
1906;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;243.524;AVE;DOM PEDRO I;TRI JOSE DE SOUZA MACHADO;TRI QUATRO MIL CENTO E SETENTA E OITO;MULTILINESTRING ((609633.571109163 7807893.6268793, 609678.106914206 7807937.12802477, 609749.55715503 7808021.57083668, 609793.268375643 7808077.07953804));243.524
1910;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;78.685;AVE;DOM PEDRO I;RUA EUGENIO VOLPINI;RUA PROFESSOR AIMORE DUTRA;MULTILINESTRING ((609046.23611165 7807319.32377703, 609116.10315037 7807355.51641012));78.685
1911;BRT ANTONIO CARLOS;IMPLANTADA;PISTA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;38.732;AVE;DOM PEDRO I;RUA PROFESSOR AIMORE DUTRA;RUA ELY MURILO CLAUDIO;MULTILINESTRING ((609116.10315037 7807355.51641012, 609150.974825897 7807372.37297902));38.732
1827;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;SIM;;72.423;AVE;VILARINHO;ROD PAPA JOAO PAULO II;RUA DOUTOR ALVARO CAMARGOS;MULTILINESTRING ((609824.396437861 7808117.48131438, 609821.790751063 7808120.05079137, 609814.592128993 7808127.12935055, 609779.044294233 7808147.98510542, 609762.585589018 7808153.79392305));72.423
1888;BRT ANTONIO CARLOS;IMPLANTADA;FAIXA EXCLUSIVA;PISTA EXCLUSIVA;2014;0;CENTRAL;NÃO;;39.676;AVE;VILARINHO;;ROD PAPA JOAO PAULO II;MULTILINESTRING ((609855.37607488 7808092.73635114, 609840.995322428 7808103.27420619, 609824.396437861 7808117.48131438));39.676
639;ROTA LESTE 2;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2021;2020;LATERAL;NÃO;;139.591;RUA;DOMINGOS VIEIRA;RUA GRAO PARA;RUA MARANHAO;MULTILINESTRING ((612844.057602422 7796650.65535356, 612709.254539871 7796686.92797037));139.591
24;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;191.332;AVE;PROFESSOR ALFREDO BALENA;AVE BERNARDO MONTEIRO;RUA DOS OTONI;MULTILINESTRING ((612232.479822678 7796525.42084468, 612067.505215849 7796428.50057252));191.332
310;ROTA LESTE 3;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2025;LATERAL;NÃO;;101.408;AVE;DOS ANDRADAS;VDT JORNALISTA OSWALDO FARIA;PCA RUI BARBOSA;MULTILINESTRING ((611566.644387467 7797569.28836847, 611570.107642072 7797543.77356194, 611548.726167812 7797471.18833645));101.408
875;ROTA JACUI;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2021;2020;LATERAL;NÃO;;139.709;RUA;ITAJUBA;AVE DO CONTORNO;RUA POUSO ALEGRE;MULTILINESTRING ((611977.394629383 7797751.43129381, 612014.855500019 7797886.01389991));139.709
288;ROTA HOSPITALAR;IMPLANTADA;FAIXA PREFERENCIAL;FAIXA EXCLUSIVA;2014;2020;LATERAL;NÃO;;53.938;RUA;DOS GUAJAJARAS;RUA GOIAS;;MULTILINESTRING ((611447.945458827 7796298.27707914, 611395.708035212 7796311.71434402));53.938
22;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;8.24;AVE;PROFESSOR ALFREDO BALENA;RUA PADRE ROLIM;RUA PARAIBA;MULTILINESTRING ((611896.247275666 7796329.79066464, 611889.485683343 7796325.08162315));8.24
23;ROTA HOSPITALAR;IMPLANTADA;FAIXA EXCLUSIVA;FAIXA EXCLUSIVA;2014;0;LATERAL;NÃO;;7.31;AVE;PROFESSOR ALFREDO BALENA;RUA DOS OTONI;RUA RIO GRANDE DO NORTE;MULTILINESTRING ((612067.505215849 7796428.50057252, 612061.197144963 7796424.82132142));7.31
